LEFT_HIP_PITCH,LEFT_HIP_ROLL,LEFT_HIP_YAW,LEFT_KNEE,LEFT_ANKLE_PITCH,LEFT_ANKLE_ROLL,RIGHT_HIP_PITCH,RIGHT_HIP_ROLL,RIGHT_HIP_YAW,RIGHT_KNEE,RIGHT_ANKLE_PITCH,RIGHT_ANKLE_ROLL,WAIST_YAW,WAIST_ROLL,WAIST_PITCH,LEFT_SHOULDER_PITCH,LEFT_SHOULDER_ROLL,LEFT_SHOULDER_YAW,LEFT_ELBOW,LEFT_WRIST_ROLL,LEFT_WRIST_PITCH,LEFT_WRIST_YAW,RIGHT_SHOULDER_PITCH,RIGHT_SHOULDER_ROLL,RIGHT_SHOULDER_YAW,RIGHT_ELBOW,RIGHT_WRIST_ROLL,RIGHT_WRIST_PITCH,RIGHT_WRIST_YAW,FLAG
-0.029401,-0.070708,-0.024226,0.327982,-0.299497,-0.001853,-0.029273,-0.049403,0.034484,0.438599,-0.432073,-0.006801,0.022244,-0.028756,-0.048794,0.029997,1.061075,1.001150,0.194600,-1.394772,-0.058375,-0.149731,0.058783,-1.441451,-0.919190,0.721307,1.086598,-0.059034,0.141510,1
-0.029418,-0.070708,-0.024213,0.327965,-0.299497,-0.001853,-0.029282,-0.049394,0.034471,0.438582,-0.432089,-0.006801,0.022244,-0.028741,-0.048784,0.030009,1.061051,1.001150,0.194600,-1.394772,-0.058363,-0.149731,0.058783,-1.441451,-0.919190,0.721283,1.086598,-0.059022,0.141522,1
-0.029418,-0.070717,-0.024226,0.327965,-0.299497,-0.001853,-0.029282,-0.049394,0.034484,0.438582,-0.432089,-0.006801,0.022257,-0.028756,-0.048794,0.030020,1.061075,1.001150,0.194612,-1.394760,-0.058375,-0.149731,0.058783,-1.441451,-0.919178,0.721235,1.086598,-0.059034,0.141522,1
-0.029410,-0.070708,-0.024226,0.327974,-0.299496,-0.001824,-0.029282,-0.049403,0.034471,0.438582,-0.432085,-0.006793,0.022257,-0.028741,-0.048804,0.030009,1.061051,1.001150,0.194600,-1.394748,-0.058363,-0.149731,0.058783,-1.441439,-0.919178,0.721211,1.086598,-0.059034,0.141534,1
-0.029418,-0.070725,-0.024199,0.327965,-0.299492,-0.001817,-0.029273,-0.049394,0.034498,0.438599,-0.432085,-0.006793,0.022244,-0.028725,-0.048794,0.029997,1.061087,1.001114,0.194624,-1.394760,-0.058363,-0.149731,0.058783,-1.441451,-0.919178,0.721211,1.086598,-0.059022,0.141522,1
-0.029418,-0.070708,-0.024213,0.327957,-0.299484,-0.001831,-0.029282,-0.049394,0.034471,0.438582,-0.432092,-0.006808,0.022257,-0.028725,-0.048794,0.030009,1.061063,1.001138,0.194648,-1.394772,-0.058363,-0.149731,0.058783,-1.441463,-0.919166,0.721187,1.086586,-0.059010,0.141510,1
-0.029418,-0.070717,-0.024226,0.327965,-0.299492,-0.001846,-0.029282,-0.049394,0.034498,0.438591,-0.432089,-0.006801,0.022244,-0.028725,-0.048794,0.030009,1.061087,1.001150,0.194636,-1.394772,-0.058363,-0.149731,0.058771,-1.441439,-0.919190,0.721139,1.086610,-0.059034,0.141522,1
-0.029418,-0.070708,-0.024199,0.327948,-0.299488,-0.001838,-0.029291,-0.049394,0.034498,0.438582,-0.432077,-0.006808,0.022257,-0.028725,-0.048794,0.030020,1.061075,1.001150,0.194636,-1.394748,-0.058363,-0.149731,0.058783,-1.441451,-0.919190,0.721091,1.086598,-0.059034,0.141510,1
-0.029427,-0.070699,-0.024186,0.327940,-0.299496,-0.001839,-0.029291,-0.049386,0.034484,0.438565,-0.432088,-0.006815,0.022244,-0.028718,-0.048799,0.030009,1.061063,1.001138,0.194660,-1.394748,-0.058351,-0.149731,0.058783,-1.441439,-0.919166,0.721055,1.086598,-0.059034,0.141510,1
-0.029435,-0.070717,-0.024199,0.327922,-0.299488,-0.001838,-0.029291,-0.049394,0.034471,0.438557,-0.432081,-0.006815,0.022244,-0.028733,-0.048809,0.029997,1.061075,1.001150,0.194648,-1.394748,-0.058363,-0.149731,0.058771,-1.441439,-0.919190,0.721055,1.086610,-0.059022,0.141510,1
-0.029418,-0.070717,-0.024186,0.327940,-0.299505,-0.001839,-0.029282,-0.049394,0.034484,0.438540,-0.432089,-0.006801,0.022244,-0.028725,-0.048794,0.030009,1.061087,1.001162,0.194672,-1.394748,-0.058363,-0.149719,0.058759,-1.441439,-0.919178,0.721031,1.086586,-0.059022,0.141534,1
-0.029418,-0.070717,-0.024199,0.327940,-0.299501,-0.001846,-0.029291,-0.049394,0.034498,0.438540,-0.432088,-0.006815,0.022257,-0.028718,-0.048799,0.029997,1.061075,1.001174,0.194648,-1.394772,-0.058363,-0.149731,0.058771,-1.441463,-0.919178,0.720983,1.086598,-0.059034,0.141510,1
-0.029410,-0.070708,-0.024226,0.327922,-0.299492,-0.001846,-0.029291,-0.049394,0.034471,0.438522,-0.432089,-0.006801,0.022244,-0.028725,-0.048814,0.029973,1.061075,1.001162,0.194648,-1.394760,-0.058351,-0.149731,0.058759,-1.441427,-0.919178,0.720971,1.086586,-0.059034,0.141510,1
-0.029418,-0.070708,-0.024226,0.327922,-0.299492,-0.001831,-0.029291,-0.049394,0.034471,0.438522,-0.432088,-0.006815,0.022244,-0.028710,-0.048794,0.029973,1.061075,1.001174,0.194660,-1.394748,-0.058351,-0.149731,0.058783,-1.441427,-0.919166,0.720971,1.086586,-0.059022,0.141534,1
